Trip,Parameters,UNITS,MAC,AO,OG,WESTLEECH,WEEKSOUT,TUNNEL,LEECHHEAD,CRAGGCREEK,CHRISCREEK,BONEYARD
7,Total Molybdenum (Mo),ug/L,-,-,-,<1.0,<1.0,<1.0,<1.0,<1.0,<1.0,-
7,Total Nickel (Ni),ug/L,-,-,-,<1.0,<1.0,<1.0,<1.0,<1.0,<1.0,-
7,Total Selenium (Se),ug/L,50,-,-,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,-
7,Total Silicon (Si),ug/L,-,-,-,2090,1680,2050,1770,1930,2060,-
7,Total Silver (Ag),ug/L,-,-,-,<0.020,<0.020,<0.020,<0.020,<0.020,<0.020,-
7,Total Strontium (Sr),ug/L,-,-,-,12,10.9,13.3,10.6,10.4,8.2,-
7,Total Thallium (Tl),ug/L,-,-,-,<0.010,<0.010,<0.010,<0.010,<0.010,<0.010,-
7,Total Tin (Sn),ug/L,-,-,-,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,-
7,Total Titanium (Ti),ug/L,-,-,-,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,-
7,Total Uranium (U),ug/L,20,-,-,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,-
7,Total Vanadium (V),ug/L,-,-,-,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,-
7,Total Zinc (Zn),ug/L,-,5000,-,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,-
7,Total Zirconium (Zr),ug/L,-,-,-,<0.10,0.1,<0.10,<0.10,<0.10,<0.10,-
7,Total Calcium (Ca),mg/L,-,-,-,1.61,1.61,2.17,1.74,2.41,1.9,-
7,Total Magnesium (Mg),mg/L,-,-,-,0.395,0.458,0.544,0.53,0.574,0.598,-
7,Total Potassium (K),mg/L,-,-,-,0.166,0.082,0.118,0.069,<0.050,<0.050,-
7,Total Sodium (Na),mg/L,-,200,-,1.72,1.46,1.7,1.45,1.32,1.22,-
7,Total Sulphur (S),mg/L,-,-,-,<3.0,<3.0,<3.0,<3.0,<3.0,<3.0,-
8,Total Potassium (K),mg/L,-,-,-,0.362,0.097,,,0.073,,0.282
8,Total Sodium (Na),mg/L,-,200,-,3.15,1.68,,,1.81,,2.98
8,Total Sulphur (S),mg/L,-,-,-,<3.0,<3.0,,,<3.0,,<3.0
8,Total Hardness (CaCO3),mg/L,-,-,-,9.68,7.75,13.7,10.2,11.2,11.7,14.5
8,Total Mercury (Hg),ug/L,1,-,-,<0.0020,<0.0020,<0.0020,<0.0020,<0.0020,<0.0020,<0.0020
8,Total Aluminum (Al),ug/L,-,-,100,38.8,172,31.6,132,35.8,25.9,28.6
8,Total Antimony (Sb),ug/L,6,-,-,<0.50,<0.50,<0.50,<0.50,<0.50,<0.50,<0.50
8,Total Arsenic (As),ug/L,10,-,-,0.19,0.21,0.18,0.14,<0.10,<0.10,0.22
8,Total Barium (Ba),ug/L,1000,-,-,4.1,4.2,4.1,4.1,3,2.9,4.4
8,Total Beryllium (Be),ug/L,-,-,-,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10
8,Total Bismuth (Bi),ug/L,-,-,-,<1.0,<1.0,<1.0,<1.0,<1.0,<1.0,<1.0
8,Total Boron (B),ug/L,5000,-,-,<50,<50,<50,<50,<50,<50,<50
8,Total Cadmium (Cd),ug/L,5,-,-,<0.010,<0.010,<0.010,0.012,<0.010,<0.010,<0.010
8,Total Chromium (Cr),ug/L,50,-,-,<1.0,<1.0,<1.0,<1.0,<1.0,<1.0,<1.0
8,Total Cobalt (Co),ug/L,-,-,-,<0.20,<0.20,<0.20,<0.20,<0.20,<0.20,<0.20
8,Total Copper (Cu),ug/L,-,1000,-,0.51,0.88,0.62,0.72,0.49,0.42,0.58
8,Total Iron (Fe),ug/L,-,300,-,12.1,261,11.5,150,6.3,12,86
8,Total Lead (Pb),ug/L,5,-,-,<0.20,<0.20,<0.20,<0.20,<0.20,<0.20,<0.20
8,Total Manganese (Mn),ug/L,120,20,-,<1.0,17.4,<1.0,12,<1.0,<1.0,<1.0
8,Total Molybdenum (Mo),ug/L,-,-,-,<1.0,<1.0,<1.0,<1.0,<1.0,<1.0,<1.0
8,Total Nickel (Ni),ug/L,-,-,-,<1.0,<1.0,<1.0,<1.0,<1.0,<1.0,<1.0
8,Total Selenium (Se),ug/L,50,-,-,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10
8,Total Silicon (Si),ug/L,-,-,-,3060,1310,2850,2210,2330,2820,3020
8,Total Silver (Ag),ug/L,-,-,-,<0.020,<0.020,<0.020,0.05,<0.020,<0.020,<0.020
8,Total Strontium (Sr),ug/L,-,-,-,21,15.5,27.7,18.3,16.2,13.7,29.5
8,Total Thallium (Tl),ug/L,-,-,-,<0.010,<0.010,<0.010,<0.010,<0.010,<0.010,<0.010
8,Total Tin (Sn),ug/L,-,-,-,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0
8,Total Titanium (Ti),ug/L,-,-,-,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0
8,Total Uranium (U),ug/L,20,-,-,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10
8,Total Vanadium (V),ug/L,-,-,-,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0
8,Total Zinc (Zn),ug/L,-,5000,-,<5.0,<5.0,<5.0,<5.0,<5.0,<5.0,7.6
8,Total Zirconium (Zr),ug/L,-,-,-,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10
8,Total Calcium (Ca),mg/L,-,-,-,2.93,2.17,4.31,2.85,3.16,3.12,4.53
8,Total Magnesium (Mg),mg/L,-,-,-,0.576,0.563,0.7,0.734,0.799,0.94,0.763
