trip,NPOC_ppm,site,sample_type,sample,dt_sampled,fillStage_cm,analysis,NO3.Neq_ppm,TOCeq_ppm,DOCeq_ppm,SAC254_Abs.m,pseudo254,SlopeRatio,E2E3,E4E6,two_seasons,SUVA,pseudo_SUVA
4,5.832,LeechHead,Grab,Grab,2018-12-07T18:30:00Z,109,DOC,0.339,11.32,9.147,NaN,27.138599999999997,1.0000763028061175,4.3293913470842105,-0.9922319323068387,wet,4.653395061728395,4.653395061728395
4,6.745,CraggCrk,Rack,L1,NA,45,DOC,0.323,9.673,7.892,NaN,23.187849999999997,0.9997213326448289,4.437574819971637,-0.6220962389380532,wet,3.4377835433654553,3.4377835433654553
4,4.449,CraggCrk,Rack,L2,NA,53,DOC,0.127,8.379,6.658,NaN,NaN,NA,NaN,NaN,wet,NaN,NaN
4,3.004,CraggCrk,Rack,L3,NA,62,DOC,NA,NA,NA,NA,NA,NA,NA,NA,wet,NA,NA
4,3.889,CraggCrk,Rack,L4,NA,73,DOC,NA,NA,NA,NA,NA,NA,NA,NA,wet,NA,NA
4,6.066,CraggCrk,Rack,L5,NA,100,DOC,NA,NA,NA,NA,NA,NA,NA,NA,wet,NA,NA
4,5.325,CraggCrk,Rack,L6,NA,112,DOC,NA,NA,NA,NA,NA,NA,NA,NA,wet,NA,NA
4,3.065,CraggCrk,Grab,Grab,2018-12-07T16:45:00Z,29,DOC,0.01,6.101,4.983,NaN,23.56885,0.9993439892354439,3.9800812347684804,11.591228070175438,wet,7.689673735725939,7.689673735725939
4,5.493,WestLeech,Rack,L1,NA,34,DOC,0.226,8.799,7.074,NaN,24.592799999999997,0.999662005678295,3.4865038824447763,1.885303867403315,wet,4.477116329874384,4.477116329874384
4,7.425,WestLeech,Rack,L2,NA,55,DOC,0.568,13.408,10.717,NaN,14.6549,1.0007633549671018,4.140604036034063,-0.43087318087318083,wet,1.9737239057239058,1.9737239057239058
4,6.721,WestLeech,Rack,L3,NA,66,DOC,0.432,11.811,9.378,NaN,21.1264,1.000024997670498,4.159903629085805,-0.8694000316605983,wet,3.1433417646183606,3.1433417646183606
4,6.466,WestLeech,Rack,L4,NA,75,DOC,0.456,12.411,9.858,NaN,32.0875,0.9993378509551868,4.277871492102439,-2.1607210626185958,wet,4.962496133622023,4.962496133622023
4,6.51,WestLeech,Rack,L5,NA,85,DOC,0.478,12.706,10.077,NaN,28.2905,0.9997439184611827,4.150714295787559,-2.0146534653465347,wet,4.345698924731183,4.345698924731183
4,7.539,WestLeech,Rack,L6,NA,93,DOC,0.422,12.543,9.839,NaN,29.72085,0.9998509119604265,4.158100483610962,-2.0884181888845705,wet,3.942280143255074,3.942280143255074
