trip,vial,NPOC_ppm,site,sample_type,sample,dt_sampled,fillStage_cm,analysis
2,37,6.225,Weeks-Lake,Grab,Grab,2018-11-06T21:55:00Z,NA,DOC
2,38,5.325,Leech-downstreamconf,Grab,Grab,2018-11-07T17:00:00Z,NA,DOC
2,39,7.588,Lab,QA-QC,CAL-VER_5.7ppm,NA,NA,DOC
2,40,14.41,Lab,QA-QC,CAL-VER_11.4ppm,NA,NA,DOC
2,41,0.3997,Lab,QA-QC,RO_pH<2,NA,NA,DOC
2,42,0.5614,Lab,QA-QC,RO,NA,NA,DOC
20,1,4.261,Tunnel,QA-QC,HoldTime-C6,2019-12-17T06:00:00Z,NA,DOC
20,2,1.927,Tunnel,QA-QC,HoldTime-C7,2019-12-17T06:00:00Z,NA,DOC
20,3,1.786,Tunnel,QA-QC,HoldTime-C8,2019-12-17T06:00:00Z,NA,DOC
20,4,3.13,Tunnel,QA-QC,HoldTime-C9,2019-12-17T06:00:00Z,NA,DOC
20,5,1.698,Tunnel,QA-QC,HoldTime-C10,2019-12-17T06:00:00Z,NA,DOC
20,6,5.329,Tunnel,Grab,Grab,2019-12-13T18:25:00Z,NA,DOC
20,7,5.118,Tunnel,Grab,Grab,2019-12-13T22:45:00Z,NA,DOC
20,8,3.996,Tunnel,Grab,Grab,2019-12-16T19:00:00Z,NA,DOC
20,9,3.752,Tunnel,Rack,L1,NA,33,DOC
20,10,5.286,Tunnel,Rack,L2,NA,53,DOC
20,11,5.648,Tunnel,Rack,L3,NA,69,DOC
20,12,3.668,Tunnel,Grab,Grab,2019-12-17T18:30:00Z,NA,DOC
20,13,3.722,Cragg-crk,Grab,Grab,2019-12-16T20:00:00Z,NA,DOC
20,14,4.297,Cragg-crk,Rack,L1,NA,43,DOC
20,15,5.346,Cragg-crk,Rack,L2,NA,59,DOC
20,16,6.365,Cragg-crk,Rack,L3,NA,72,DOC
20,17,2.615,Chris-crk,Grab,Grab,2019-12-17T19:45:00Z,26,DOC
20,18,3.7,Cragg-crk,Grab,Grab,2019-12-17T22:00:00Z,NA,DOC
21,19,4.464,Cragg-crk,Grab,Grab,2019-12-19T20:00:00Z,NA,DOC
21,20,3.763,Cragg-crk,Rack,L1,NA,45,DOC
21,21,4.395,Cragg-crk,Rack,L2,NA,63,DOC
20,22,2.573,Chris-crk,Grab,Grab,2019-12-16T21:35:00Z,NA,DOC
20,23,4.785,Chris-crk,Rack,L1,NA,26,DOC
20,24,4.565,Chris-crk,Rack,L2,NA,36,DOC
20,25,6.056,Leech-head,Grab,Grab,2019-12-16T21:00:00Z,NA,DOC
20,26,6.67,Leech-head,Rack,L1,NA,122,DOC
20,27,7.693,Leech-head,Rack,L2,NA,139,DOC
20,28,5.715,Leech-head,Grab,Grab,2019-12-17T20:00:00Z,NA,DOC
20,29,7.704,Weeks-out,Grab,Grab,2019-12-16T21:20:00Z,NA,DOC
20,31,9.025,Weeks-out,Rack,L2,NA,74,DOC
20,32,8.482,Weeks-out,Rack,L3,NA,87,DOC
20,33,7.415,Weeks-out,Grab,Grab,2019-12-17T18:00:00Z,NA,DOC
20,34,3.079,West-Leech,Grab,Grab,2019-12-16T17:45:00Z,NA,DOC
20,35,3.744,West-Leech,Rack,L1,NA,34,DOC
20,36,4.825,West-Leech,Rack,L2,NA,50,DOC
20,37,4.094,Deception-crk,Grab,Grab,2019-12-13T17:00:00Z,NA,DOC
20,38,2.555,Rithet,Grab,Grab,2019-12-13T18:00:00Z,NA,DOC
20,39,4.454,Lazar,Grab,Grab,2019-12-13T19:00:00Z,NA,DOC
20,40,6.846,Jarvis,Grab,Grab,2019-12-13T19:20:00Z,NA,DOC
20,41,4.421,Judge,Grab,Grab,2019-12-13T23:00:00Z,NA,DOC
22,1,0.9316,Lab,QA-QC,RO,NA,NA,DOC
22,2,6.388,Judge,Grab,Grab,2020-01-07T17:00:00Z,NA,DOC
22,3,6.29,Rithet,Grab,Grab,2020-01-07T17:30:00Z,NA,DOC
22,4,6.372,Jarvis,Grab,Grab,2020-01-07T18:00:00Z,NA,DOC
22,5,5.261,Cragg-crk,Grab,Grab,2020-01-07T18:30:00Z,115,DOC
22,6,4.887,Tunnel,Grab,R1,2020-01-07T19:30:00Z,110,DOC
22,7,5.243,Tunnel,Grab,R2,2020-01-07T19:30:00Z,110,DOC
22,8,0.9323,Lab,QA-QC,RO,NA,NA,DOC
22,9,5.33204,Lab,QA-QC,CalVer-1_5.55ppm,NA,NA,DOC
22,10,0.9922,Lab,QA-QC,RO,NA,NA,DOC
22,11,6.536,Lab,QA-QC,CalVer-2_5.77ppm,NA,NA,DOC
22,12,0.9408,Lab,QA-QC,RO,NA,NA,DOC
23,1,5.642,Leech-head,Grab,Grab,2020-02-20T18:00:00Z,NA,DOC
23,2,5.655,Leech-head,Rack,L1,NA,134,DOC
23,3,5.666,Leech-head,Rack,L2,NA,145,DOC
23,4,5.261,Leech-head,Rack,L3,NA,160,DOC
23,5,4.661,Leech-head,Rack,L4,NA,170,DOC
23,6,4.288,Leech-head,Rack,L6,NA,200,DOC
23,7,6.952,Weeks-out,Grab,Grab,2020-02-20T19:45:00Z,51.5,DOC
23,8,4.222,Weeks-out,Rack,L1,NA,74,DOC
23,9,4.255,Weeks-out,Rack,L2,NA,83,DOC
23,10,3.782,Weeks-out,Rack,L3,NA,100,DOC
23,11,4.945,Weeks-out,Rack,L4,NA,115,DOC
23,12,6.869,Weeks-out,Grab,Grab,2020-01-09T19:35:00Z,NA,DOC
23,13,3.4,Tunnel,Grab,Treatability,2020-02-18T19:00:00Z,20,DOC
23,14,3.447,Tunnel,Grab,Grab,2020-02-19T19:00:00Z,19,DOC
23,15,5.909,Tunnel,Rack,L1,NA,41,DOC
23,16,4.937,Tunnel,Rack,L2,NA,57,DOC
23,17,5.037,Tunnel,Rack,L3,NA,75,DOC
23,18,5.352,Tunnel,Rack,L4,NA,103,DOC
23,19,5.101,Tunnel,Rack,L5,NA,125,DOC
23,20,5.209,Tunnel,Rack,L6,NA,150,DOC
23,21,3.715,Tunnel,Grab,Grab,2020-01-30T20:30:00Z,110,DOC
23,22,2.901,West-Leech,Grab,Grab,2020-02-19T18:00:00Z,30,DOC
23,23,4.448,West-Leech,Rack,L1,NA,31,DOC
23,24,5.55,West-Leech,Rack,L2,NA,41,DOC
23,25,3.366,West-Leech,Rack,L3,NA,52,DOC
23,26,3.737,West-Leech,Rack,L4,NA,67,DOC
23,27,4.936,West-Leech,Rack,L5,NA,85,DOC
23,28,4.339,West-Leech,Rack,L6,NA,99,DOC
23,29,4.175,West-Leech,Rack,L7,NA,114,DOC
23,30,3.063,West-Leech,Grab,Grab,2020-01-30T17:30:00Z,NA,DOC
23,31,3.353,West-Leech,Grab,Grab,2020-01-08T20:45:00Z,NA,DOC
23,32,3.034,West-Leech,Grab,Grab,2020-02-08T18:00:00Z,NA,DOC
23,33,3.267,Leech-downstreamconf,Grab,Grab,2020-02-08T19:10:00Z,NA,DOC
23,34,2.492,Chris-crk,Grab,Grab,2020-02-20T21:00:00Z,NA,DOC
23,35,4.868,Chris-crk,Rack,L1,NA,25,DOC
23,36,4.802,Chris-crk,Rack,L2,NA,37,DOC
23,37,1.937,Chris-crk,Rack,L3,NA,45,DOC
23,38,4.457,Chris-crk,Rack,L4,NA,55,DOC
23,39,3.665,Chris-crk,Rack,L5,NA,67,DOC
23,40,4.822,Chris-crk,Rack,L6,NA,80,DOC
23,41,3.077,Chris-crk,Grab,Grab,2020-01-09T19:20:00Z,NA,DOC
23,42,3.552,Cragg-crk,Grab,Grab,2020-02-06T23:30:00Z,NA,DOC
