StationName,DateTime,Temp,TMin,TMax,SnowDep,Rn_1,Rn24,Rn15,Precip,Prec_24,Prec_1
FWx Chris Creek,2020-02-02 3:00,-3.4,-3.5,-3.3,0.018,0,8.38,0,1647,9,1
FWx Chris Creek,2020-02-02 3:15,-3.5,,,,,,0,,,
FWx Chris Creek,2020-02-02 3:30,-3.6,,,,,,0,,,
FWx Chris Creek,2020-02-02 3:45,-3.2,,,,,,0,,,
FWx Chris Creek,2020-02-02 4:00,-3.3,-3.7,-3.1,0.018,0,4.57,0,1648,6,1
FWx Chris Creek,2020-02-02 4:15,-3.8,,,,,,0,,,
FWx Chris Creek,2020-02-02 4:30,-3.7,,,,,,0,,,
FWx Chris Creek,2020-02-02 4:45,-3.9,,,,,,0,,,
FWx Chris Creek,2020-02-02 5:00,-3.9,-4,-3.3,0.018,0,0.51,0,1648,3,0
FWx Chris Creek,2020-02-02 5:15,-4.1,,,,,,0,,,
FWx Chris Creek,2020-02-02 5:30,-4.2,,,,,,0,,,
FWx Chris Creek,2020-02-02 5:45,-4.1,,,,,,0,,,
FWx Chris Creek,2020-02-02 6:00,-4.1,-4.2,-3.9,0.021,0,0.25,0,1650,2,2
FWx Chris Creek,2020-02-02 6:15,-4.1,,,,,,0,,,
FWx Chris Creek,2020-02-02 6:30,-3.8,,,,,,0,,,
FWx Chris Creek,2020-02-02 6:45,-3.5,,,,,,0,,,
FWx Chris Creek,2020-02-02 7:00,-3.1,-4.2,-3.1,0.016,0,0,0,1651,5,1
FWx Chris Creek,2020-02-02 7:15,-3.1,,,,,,0,,,
FWx Chris Creek,2020-02-02 7:30,-2.9,,,,,,0,,,
FWx Chris Creek,2020-02-02 7:45,-2.5,,,,,,0,,,
FWx Chris Creek,2020-02-02 8:00,-2.3,-3.1,-2.3,0.02,0,0,0,1649,1,-2
FWx Chris Creek,2020-02-02 8:15,-2.1,,,,,,0,,,
FWx Chris Creek,2020-02-02 8:30,-1.8,,,,,,0,,,
FWx Chris Creek,2020-02-02 8:45,-1.6,,,,,,0,,,
FWx Chris Creek,2020-02-02 9:00,-1.4,-2.3,-1.4,0.021,0,0,0,1649,2,0
FWx Chris Creek,2020-02-02 9:15,-1.2,,,,,,0,,,
FWx Chris Creek,2020-02-02 9:30,-1,,,,,,0,,,
FWx Chris Creek,2020-02-02 9:45,-0.2,,,,,,0,,,
FWx Chris Creek,2020-02-02 10:00,0.2,-1.4,0.2,0.019,0,0,0,1648,0,-1
FWx Chris Creek,2020-02-02 10:15,0.2,,,,,,0,,,
FWx Chris Creek,2020-02-02 10:30,1,,,,,,0,,,
