StationName,DateTime,Temp,Rh,Rn_1,Mx_Spd,Dir
,DateTime,C,%,mm,kph,Degree
FWx Chris Creek,2018-09-15 6:00,8.2,98,0.51,8,83
FWx Chris Creek,2018-09-15 7:00,8.5,98,0,8,100
FWx Chris Creek,2018-09-15 8:00,9.2,97,0.51,8,112
FWx Chris Creek,2018-09-15 9:00,10.1,90,0.25,12,158
FWx Chris Creek,2018-09-15 10:00,10.5,86,0,19,224
FWx Chris Creek,2018-09-15 11:00,11.4,83,0,21,252
FWx Chris Creek,2018-09-15 12:00,11.1,85,0,21,227
FWx Chris Creek,2018-09-15 13:00,13.9,60,0,22,217
FWx Chris Creek,2018-09-15 14:00,12.5,71,0,26,224
FWx Chris Creek,2018-09-15 15:00,13.5,67,0,21,247
FWx Chris Creek,2018-09-15 16:00,11.8,88,0,19,181
FWx Chris Creek,2018-09-15 17:00,10.9,94,0.25,16,145
FWx Chris Creek,2018-09-15 18:00,10.1,96,0,14,145
FWx Chris Creek,2018-09-15 19:00,9.5,98,0,8,83
FWx Chris Creek,2018-09-15 20:00,9.2,97,0.25,6,52
FWx Chris Creek,2018-09-15 21:00,8.9,98,0.76,6,274
FWx Chris Creek,2018-09-15 22:00,8.7,98,0.76,5,286
FWx Chris Creek,2018-09-15 23:00,8.6,99,0.76,10,12
FWx Chris Creek,2018-09-16 0:00,8.6,99,0.25,12,77
FWx Chris Creek,2018-09-16 1:00,8.5,99,0,4,117
FWx Chris Creek,2018-09-16 2:00,8.6,99,1.02,7,230
FWx Chris Creek,2018-09-16 3:00,8.5,99,1.52,5,230
FWx Chris Creek,2018-09-16 4:00,8.5,99,2.54,6,75
FWx Chris Creek,2018-09-16 5:00,7.7,97,0.51,12,68
FWx Chris Creek,2018-09-16 6:00,7.8,94,0,8,47
FWx Chris Creek,2018-09-16 7:00,7.8,97,0,12,144
FWx Chris Creek,2018-09-16 8:00,9.9,89,0,21,171
FWx Chris Creek,2018-09-16 9:00,9.6,88,0,27,190
FWx Chris Creek,2018-09-16 10:00,10,88,0,27,205
FWx Chris Creek,2018-09-16 11:00,10,89,0,34,207
FWx Chris Creek,2018-09-16 12:00,10,90,0.51,26,170
FWx Chris Creek,2018-09-16 13:00,10.4,89,0.76,37,215
FWx Chris Creek,2018-09-16 14:00,10.2,83,0,36,241
FWx Chris Creek,2018-09-16 15:00,11.3,75,0.25,39,230
FWx Chris Creek,2018-09-16 16:00,10.5,76,0,40,225
FWx Chris Creek,2018-09-16 17:00,10.2,74,0,28,233
FWx Chris Creek,2018-09-16 18:00,9.4,83,0,27,255
FWx Chris Creek,2018-09-16 19:00,8.4,89,0,28,291
FWx Chris Creek,2018-09-16 20:00,8.2,86,0,19,250
FWx Chris Creek,2018-09-16 21:00,7.7,89,0,24,65
FWx Chris Creek,2018-09-16 22:00,8.1,84,0,21,274
FWx Chris Creek,2018-09-16 23:00,6.7,90,0,20,328
FWx Chris Creek,2018-09-17 0:00,6.8,86,0,15,290
FWx Chris Creek,2018-09-17 1:00,5.3,93,0,15,27
FWx Chris Creek,2018-09-17 2:00,5.1,95,0,11,14
FWx Chris Creek,2018-09-17 3:00,5.4,95,0,13,303
FWx Chris Creek,2018-09-17 4:00,2.9,96,0,10,39
FWx Chris Creek,2018-09-17 5:00,2.3,96,0,12,325
FWx Chris Creek,2018-09-17 6:00,1.6,97,0,7,26
FWx Chris Creek,2018-09-17 7:00,2,97,0,5,348
FWx Chris Creek,2018-09-17 8:00,8.8,83,0,6,225
FWx Chris Creek,2018-09-17 9:00,11.1,67,0,10,279
FWx Chris Creek,2018-09-17 10:00,12.2,66,0,14,228
FWx Chris Creek,2018-09-17 11:00,12.2,62,0,13,142
FWx Chris Creek,2018-09-17 12:00,14.8,57,0,18,110
FWx Chris Creek,2018-09-17 13:00,13.4,60,0,21,48
FWx Chris Creek,2018-09-17 14:00,14.5,56,0,20,155
FWx Chris Creek,2018-09-17 15:00,12.5,67,0,18,78
FWx Chris Creek,2018-09-17 16:00,13.7,53,0,11,75
FWx Chris Creek,2018-09-17 17:00,15.3,50,0,13,151
FWx Chris Creek,2018-09-17 18:00,11.7,74,0,13,236
FWx Chris Creek,2018-09-17 19:00,7.1,93,0,6,31
FWx Chris Creek,2018-09-17 20:00,5.6,96,0,8,28
FWx Chris Creek,2018-09-17 21:00,4.3,96,0,8,22
FWx Chris Creek,2018-09-17 22:00,3.7,97,0,7,16
FWx Chris Creek,2018-09-17 23:00,3.8,98,0,5,333
FWx Chris Creek,2018-09-18 0:00,3.3,98,0,4,94
FWx Chris Creek,2018-09-18 1:00,3.2,98,0,4,231
FWx Chris Creek,2018-09-18 2:00,3.2,98,0,4,23
FWx Chris Creek,2018-09-18 3:00,2.9,99,0,4,311
FWx Chris Creek,2018-09-18 4:00,2.6,99,0,4,325
FWx Chris Creek,2018-09-18 5:00,2.6,99,0,4,356
FWx Chris Creek,2018-09-18 6:00,2.4,99,0,4,243
FWx Chris Creek,2018-09-18 7:00,2.9,99,0,4,55
