trip,site,sample_type,sample,dt_sampled,fillStage_cm,Turbid.FTUeq,NO3.Neq_ppm,TOCeq_ppm,DOCeq_ppm,SAC254_Abs.m,SAC436_Abs.m
11,Weeks-Lake,Grab,Grab,2019-06-28T21:15:00Z,NA,0,0.13466666666666666,7.842,6.443,15.714333333333332,0.2733333333333334
11,Worley-Lake,Grab,Grab,2019-06-28T21:50:00Z,NA,0,0,4.303,3.705,9.036333333333333,0.18266666666666667
11,Jarvis-Lake,Grab,Grab,2019-06-28T22:30:00Z,NA,0,0,4.529333333333334,3.9176666666666664,9.555333333333333,0.17966666666666667
13,Cragg-crk,Grab,Grab,2019-07-24T21:00:00Z,NA,0,0,2.1443333333333334,1.9236666666666666,4.692,0.14133333333333334
13,Leech-head,Grab,Grab,2019-07-24T19:50:00Z,NA,0,0,3.342,2.8853333333333335,7.0376666666666665,0.179
13,Weeks-out,Grab,Grab,2019-07-24T19:30:00Z,NA,0,0.3666666666666667,11.035666666666666,8.541,20.832,0.425
13,Chris-crk,Grab,Grab,2019-07-24T18:15:00Z,NA,0,0,2.679333333333333,2.328,5.678,0.138
13,Jarvis,Grab,Grab,2019-07-24T17:35:00Z,NA,0,0.02,6.476,5.437666666666667,13.263,0.24
13,Lazar,Grab,Grab,2019-07-24T17:20:00Z,NA,0,0,2.405,2.126,5.185,0.14066666666666666
13,Rithet,Grab,Grab,2019-07-24T17:00:00Z,NA,0,0,4.305666666666667,3.506666666666667,8.552333333333333,0.19233333333333333
13,Deception-res,Lake,0m,2019-07-25T17:30:00Z,NA,0,0,4.415,3.8146666666666667,9.303666666666667,0.19
13,Weeks-Lake,Lake,Bottom,2019-07-26T18:00:00Z,NA,0,0.063,7.086,5.93,14.464,0.267
13,Weeks-Lake,Lake,Secchi+1,2019-07-26T18:00:00Z,NA,0,0.051333333333333335,6.765,5.810333333333333,14.172,0.2583333333333333
13,Jarvis-Lake,Lake,mid,2019-07-25T20:45:00Z,NA,0,0,3.713,3.3486666666666665,8.166333333333334,0.15566666666666668
13,Weeks-out_aboveseep,Grab,Grab,2019-07-24T22:00:00Z,NA,0,0.4453333333333333,13.338,10.04,24.487000000000002,0.5226666666666667
13,Weeks-out_seep,Grab,Grab,2019-07-24T22:30:00Z,NA,1.943,0.37033333333333335,13.499666666666666,9.739666666666666,23.754666666666665,0.5106666666666667
14,Jarvis-lake,Grab,Secchi,NA,NA,0,0,3.7830000000000004,3.217,7.8454999999999995,0.16399999999999998
14,Jarvis-lake,Grab,Secchi-1m,NA,NA,0,0,3.6265,3.1494999999999997,7.6815,0.14650000000000002
14,Jarvis-lake,Grab,Surface,NA,NA,0,0,3.54,3.122,7.614,0.157
14,Weeks-lake,Grab,Secchi,NA,NA,0,0.025500000000000002,6.205500000000001,5.354,13.059000000000001,0.23299999999999998
14,Weeks-lake,Grab,Secchi-1m,NA,NA,0,0.027000000000000003,6.1485,5.2940000000000005,12.911999999999999,0.222
14,Weeks-lake,Grab,Surface,NA,NA,0,0.024499999999999997,6.009,5.271,12.856,0.22899999999999998
14,Weeks-lake,Grab,Secchi+1m,NA,NA,0,0.055499999999999994,7.535,6.1695,15.0475,0.2925
15,West-Leech,Grab,Grab,2019-09-20T21:30:00Z,NA,0,0.4206666666666667,9.734333333333334,8.292333333333334,20.224666666666668,0.324
15,West-Leech,Rack,L1,NA,26,0.14466666666666667,0.579,10.347333333333333,8.443333333333333,20.592666666666666,0.349
15,Tunnel,Grab,Grab,2019-09-20T22:30:00Z,NA,0,0.44133333333333336,7.310666666666666,6.294333333333333,15.352,0.283
15,Cragg-crk,Grab,Grab,2019-09-20T17:10:00Z,NA,0,0.39333333333333337,4.029333333333334,3.5803333333333334,8.733,0.17133333333333334
15,Weeks-out,Grab,Grab,2019-09-20T19:10:00Z,NA,0,0.7583333333333333,15.641333333333334,12.443333333333333,30.349,0.498
15,Weeks-out,Rack,L1,NA,28,7.440666666666667,0.4033333333333333,14.898333333333333,9.632666666666667,23.494333333333334,0.5136666666666667
15,Chris-crk,Grab,Grab,2019-09-20T18:25:00Z,NA,0,0.117,6.358333333333333,5.5423333333333336,13.518333333333333,0.24433333333333335
16,West-Leech,Grab,Grab,2019-10-12T16:00:00Z,18,0,0.183,7.966666666666667,6.827,16.651,0.28200000000000003
16,West-Leech,Rack,L1,NA,23,2.037,0.388,12.371333333333334,9.612,23.443666666666665,0.423
16,Tunnel,Grab,Grab,2019-10-12T18:30:00Z,0,0,0.142,7.173,6.091333333333333,14.857,0.26366666666666666
16,Tunnel,QA-QC,HoldTime-A1,2019-10-12T18:30:00Z,NA,0,0.12766666666666668,6.971333333333333,5.982666666666667,14.591666666666667,0.267
