source,Turbid.FTUeq,NO3.Neq_ppm,TOCeq_ppm,DOCeq_ppm,SAC254_Abs.m,SAC436_Abs.m,trip,measurement,site,sample_type,sample,dt_sampled,fillStage_cm
Trip16,0,0.133,6.992,6.003,14.642,0.258,16,36,Tunnel,Grab,Grab,2019-10-12T18:30:00Z,0
Trip16,0,0.134,7.01,5.976,14.575,0.261,16,37,Tunnel,QA-QC,HoldTime-A1,2019-10-12T18:30:00Z,NA
Trip16,0,0.114,6.965,5.981,14.587,0.267,16,38,Tunnel,QA-QC,HoldTime-A1,2019-10-12T18:30:00Z,NA
Trip16,0,0.135,6.939,5.991,14.613,0.273,16,39,Tunnel,QA-QC,HoldTime-A1,2019-10-12T18:30:00Z,NA
Trip16,0,0.143,7.037,5.955,14.524,0.249,16,40,Tunnel,QA-QC,HoldTime-A2,2019-10-12T18:30:00Z,NA
Trip16,0,0.125,7.037,5.971,14.564,0.253,16,41,Tunnel,QA-QC,HoldTime-A2,2019-10-12T18:30:00Z,NA
Trip16,0,0.143,6.965,6.018,14.678,0.272,16,42,Tunnel,QA-QC,HoldTime-A2,2019-10-12T18:30:00Z,NA
Trip16,0,0.131,7.013,5.958,14.532,0.25,16,43,Tunnel,QA-QC,HoldTime-A3,2019-10-12T18:30:00Z,NA
Trip16,0,0.112,7.032,5.996,14.625,0.273,16,44,Tunnel,QA-QC,HoldTime-A3,2019-10-12T18:30:00Z,NA
Trip16,0,0.136,7.03,5.987,14.602,0.267,16,45,Tunnel,QA-QC,HoldTime-A3,2019-10-12T18:30:00Z,NA
Trip16,0,0.136,7.075,6.005,14.647,0.273,16,46,Tunnel,QA-QC,HoldTime-A4,2019-10-12T18:30:00Z,NA
Trip16,0,0.121,6.994,5.962,14.54,0.261,16,47,Tunnel,QA-QC,HoldTime-A4,2019-10-12T18:30:00Z,NA
Trip16,0,0.131,6.928,5.99,14.611,0.274,16,48,Tunnel,QA-QC,HoldTime-A4,2019-10-12T18:30:00Z,NA
Trip16,0,0.144,7.046,5.977,14.579,0.268,16,49,Tunnel,QA-QC,HoldTime-A5,2019-10-12T18:30:00Z,NA
Trip16,0,0.129,7.051,5.965,14.549,0.265,16,50,Tunnel,QA-QC,HoldTime-A5,2019-10-12T18:30:00Z,NA
Trip16,0,0.133,6.958,5.978,14.581,0.261,16,51,Tunnel,QA-QC,HoldTime-A5,2019-10-12T18:30:00Z,NA
NA,NA,NA,NA,NA,NA,NA,17,52,Tunnel,QA-QC,HoldTime-A6,2019-10-12T18:30:00Z,NA
Trip17,0,0.607,14.281,11.575,28.232,0.47,17,1,Leech-head,Grab,Grab,2019-10-23T20:35:00Z,137
Trip17,0,0.526,12.899,10.487,25.577,0.409,17,2,Leech-head,Rack,L1,NA,98
Trip17,0.723,1.009,17.429,14.17,34.56,0.544,17,3,Leech-head,Rack,L2,NA,117
Trip17,0.396,0.847,17.78,14.338,34.972,0.574,17,4,Leech-head,Rack,L3,NA,131
Trip17,0,0.5,13.428,10.945,26.694,0.44,17,5,Leech-head,Grab,Grab,2019-10-24T16:15:00Z,125
Trip17,0,0.683,18.114,14.536,35.454,0.552,17,6,Weeks-out,Grab,Grab,2019-10-23T21:15:00Z,84
Trip17,1.803,NaN,NaN,NaN,NaN,0.849,17,7,Weeks-out,Rack,L1,NA,43
Trip17,1.365,NaN,NaN,NaN,NaN,0.863,17,8,Weeks-out,Rack,L2,NA,58
Trip17,1.517,NaN,NaN,NaN,NaN,0.839,17,9,Weeks-out,Rack,L3,NA,71
Trip17,0,0.824,17.53,14.115,34.426,0.548,17,10,Weeks-out,Grab,Grab,2019-10-24T16:54:00Z,NA
Trip17,0,0,5.411,4.677,11.408,0.214,17,11,Chris-crk,Grab,Grab,2019-10-23T22:10:00Z,28
Trip17,0,0.435,10.522,8.81,21.487,0.351,17,12,Chris-crk,Rack,L1,NA,28
Trip17,0,0.753,15.197,12.594,30.717,0.467,17,13,Chris-crk,Rack,L2,NA,38
Trip17,0,0,5.199,4.511,11.003,0.223,17,14,Chris-crk,Grab,Grab,2019-10-24T17:01:00Z,26
Trip17,0,0.165,8.684,7.426,18.112,0.318,17,15,Cragg-crk,Grab,Grab,2019-10-23T19:25:00Z,52
